index,com_id,post_name,post_id,comnum,time_since_original_post,comp_sent_score,pos_sent_score,neg_sent_score,neu_sent_score,comment_date_utime,Company,post_date_utime,image_set,video,Media_Types,Edges,Luminosity,Number_of_Colors,standardized_time_since_post,BK,Converse,Jordan,LG,McDonalds,Nike,Samsung,Sony,Subway,Text_Image,continuous_thematic_episodic_5,C_Thematic,C_Episodic,making_continuous,C_Number_of_Colors,C_Luminosity,C_Edges,C_cont_no_col,ind_id,weekend,com_weekend,am_pm_quant,utime_convert,post_time_day,post_time_bin,cumulative_comp_score,stand_cumsum,commenter_cumsum,commenter_stand_cumsum,comment_cumsum_sent,stand_comment_cumsum_sent,stand_edges,post_lag_comment,ind_lag_comment,stand_comnum,comnum,scaled_prior_ind_sentiment,abs_comp_sent_score,cont_frame
13,316,I_BK10,4,6,33162653,0,0,0,1,1562062854,Burger_King,1528900201,1,0,Text_Image,0.096792977,0.366799416,5,0.580230703,1,0,0,0,0,0,0,0,0,1,0.274665368,0.63397561,0.43815365,0.591323858,-0.392865318,-0.09767143,0.044826305,-0.082957846,90502,0,0,1,43264.3125,0.312511574,2,0.466,-0.376755802,0.466,-0.150872503,0.466,-0.376755802,1.162511368,0,0,-0.61891298,5,-0.974724693,0,0.295744991
14,922,I_BK11,6,1,29283,0.8652,0.897,0,0.103,1528778675,Burger_King,1528749392,1,0,Image,0.041086252,0.381681091,6,0.00051235,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,0.607134682,-0.082789755,-0.01088042,0.851382168,39670,0,0,0,43262.56667,0.567037037,4,18.05,-0.051126263,0.8652,-0.148691972,18.05,-0.051126263,-0.339820472,-0.2263,0,-0.179558413,255,-0.974365088,86.52,1
15,923,I_BK11,6,2,29257,0,0,0,1,1528778649,Burger_King,1528749392,1,0,Image,0.041086252,0.381681091,6,0.000511895,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,0.607134682,-0.082789755,-0.01088042,0.851382168,60196,0,0,0,43262.56667,0.567037037,4,18.05,-0.051126263,0,-0.153417912,18.05,-0.051126263,-0.339820472,0.8652,0,-0.177800994,256,-0.975144473,0,1
16,1628,I_BK12,7,1,271078,0,0,0,1,1529020442,Burger_King,1528749364,1,0,Image,0.033580056,0.730738216,7,0.004742919,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,1.607134682,0.26626737,-0.018386616,0.851382168,60253,0,0,0,43262.56667,0.566712963,4,9.8705,-0.202598443,0,-0.153417912,9.8705,-0.202598443,-0.542251997,0,0,-0.318394456,176,-0.975144473,0,1
17,1629,I_BK12,7,2,243222,0,0,0,1,1528992586,Burger_King,1528749364,1,0,Image,0.033580056,0.730738216,7,0.004255536,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,1.607134682,0.26626737,-0.018386616,0.851382168,28626,0,0,0,43262.56667,0.566712963,4,9.8705,-0.202598443,0,-0.153417912,9.8705,-0.202598443,-0.542251997,0,0,-0.316637038,177,-0.975144473,0,1
18,1630,I_BK12,7,3,268065,0,0,0,1,1529017429,Burger_King,1528749364,1,0,Image,0.033580056,0.730738216,7,0.004690202,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,1.607134682,0.26626737,-0.018386616,0.851382168,78049,0,0,0,43262.56667,0.566712963,4,9.8705,-0.202598443,0,-0.153417912,9.8705,-0.202598443,-0.542251997,0,0,-0.314879619,178,-0.975144473,0,1
19,1631,I_BK12,7,4,267767,0,0,0,1,1529017131,Burger_King,1528749364,1,0,Image,0.033580056,0.730738216,7,0.004684988,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,1.607134682,0.26626737,-0.018386616,0.851382168,20908,0,0,0,43262.56667,0.566712963,4,9.8705,-0.202598443,0,-0.153417912,9.8705,-0.202598443,-0.542251997,0,0,-0.313122201,179,-0.975144473,0,1
20,1632,I_BK12,7,5,260091,0,0,0,1,1529009455,Burger_King,1528749364,1,0,Image,0.033580056,0.730738216,7,0.004550685,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,1.607134682,0.26626737,-0.018386616,0.851382168,39995,0,0,0,43262.56667,0.566712963,4,9.8705,-0.202598443,0,-0.153417912,9.8705,-0.202598443,-0.542251997,0,0,-0.311364783,180,-0.975144473,0,1
21,1633,I_BK12,7,6,264249,0.0258,0.158,0.153,0.69,1529013613,Burger_King,1528749364,1,0,Image,0.033580056,0.730738216,7,0.004623435,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,1.607134682,0.26626737,-0.018386616,0.851382168,30968,0,0,0,43262.56667,0.566712963,4,9.8963,-0.202120666,0.0258,-0.153276986,9.8963,-0.202120666,-0.542251997,0,0,-0.309607365,181,-0.975121232,2.58,1
22,1634,I_BK12,7,7,237528,0,0,0,1,1528986892,Burger_King,1528749364,1,0,Image,0.033580056,0.730738216,7,0.004155911,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,1.607134682,0.26626737,-0.018386616,0.851382168,67214,0,0,0,43262.56667,0.566712963,4,9.8963,-0.202120666,0,-0.153417912,9.8963,-0.202120666,-0.542251997,0.0258,0,-0.307849946,182,-0.975144473,0,1
23,1635,I_BK12,7,8,261745,0,0,0,1,1529011109,Burger_King,1528749364,1,0,Image,0.033580056,0.730738216,7,0.004579624,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,1.607134682,0.26626737,-0.018386616,0.851382168,27485,0,0,0,43262.56667,0.566712963,4,9.8963,-0.202120666,0,-0.153417912,9.8963,-0.202120666,-0.542251997,0,0,-0.306092528,183,-0.975144473,0,1
24,1636,I_BK12,7,9,261048,0,0,0,1,1529010412,Burger_King,1528749364,1,0,Image,0.033580056,0.730738216,7,0.004567429,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,1.607134682,0.26626737,-0.018386616,0.851382168,86688,0,0,0,43262.56667,0.566712963,4,9.8963,-0.202120666,0,-0.153417912,9.8963,-0.202120666,-0.542251997,0,0,-0.30433511,184,-0.975144473,0,1
25,1637,I_BK12,7,10,260656,0,0,0,1,1529010020,Burger_King,1528749364,1,0,Image,0.033580056,0.730738216,7,0.00456057,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,1.607134682,0.26626737,-0.018386616,0.851382168,15051,0,0,0,43262.56667,0.566712963,4,9.8963,-0.202120666,0,-0.153417912,9.8963,-0.202120666,-0.542251997,0,0,-0.302577692,185,-0.975144473,0,1
26,1638,I_BK12,7,11,260201,0.34,0.306,0.243,0.45,1529009565,Burger_King,1528749364,1,0,Image,0.033580056,0.730738216,7,0.00455261,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,1.607134682,0.26626737,-0.018386616,0.851382168,89962,0,0,0,43262.56667,0.566712963,4,10.2363,-0.195824371,0.34,-0.151560746,10.2363,-0.195824371,-0.542251997,0,0,-0.300820273,186,-0.974838196,34,1
27,1639,I_BK12,7,12,31987,0.5267,0.35,0.15,0.5,1528781351,Burger_King,1528749364,1,0,Image,0.033580056,0.730738216,7,0.000559661,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,1.607134682,0.26626737,-0.018386616,0.851382168,38368,0,0,0,43262.56667,0.566712963,4,10.763,-0.18607067,0.5267,-0.150540944,10.763,-0.18607067,-0.542251997,0.34,0,-0.299062855,187,-0.974670014,52.67,1
28,1640,I_BK12,7,13,90065,0.25,0.4,0,0.6,1528839429,Burger_King,1528749364,1,0,Image,0.033580056,0.730738216,7,0.001575823,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,1.607134682,0.26626737,-0.018386616,0.851382168,84512,0,0,0,43262.56667,0.566712963,4,11.013,-0.181441042,0.25,-0.152052349,11.013,-0.181441042,-0.542251997,0.5267,0,-0.297305437,188,-0.974919269,25,1
29,1641,I_BK12,7,14,257189,0,0,0,1,1529006553,Burger_King,1528749364,1,0,Image,0.033580056,0.730738216,7,0.00449991,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,1.607134682,0.26626737,-0.018386616,0.851382168,88134,0,0,0,43262.56667,0.566712963,4,11.013,-0.181441042,0,-0.153417912,11.013,-0.181441042,-0.542251997,0.25,0,-0.295548018,189,-0.975144473,0,1
30,1642,I_BK12,7,15,255848,0,0,0,1,1529005212,Burger_King,1528749364,1,0,Image,0.033580056,0.730738216,7,0.004476447,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,1.607134682,0.26626737,-0.018386616,0.851382168,75726,0,0,0,43262.56667,0.566712963,4,11.013,-0.181441042,0,-0.153417912,11.013,-0.181441042,-0.542251997,0,0,-0.2937906,190,-0.975144473,0,1
31,1643,I_BK12,7,16,181,0.6249,0.128,0,0.872,1528749545,Burger_King,1528749364,1,0,Image,0.033580056,0.730738216,7,0.00000317,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,1.607134682,0.26626737,-0.018386616,0.851382168,41049,0,0,0,43262.56667,0.566712963,4,11.6379,-0.169868823,0.6249,-0.150004551,11.6379,-0.169868823,-0.542251997,0,0,-0.292033182,191,-0.974581554,62.49,1
32,1644,I_BK12,7,17,335,0.8481,0.281,0,0.719,1528749699,Burger_King,1528749364,1,0,Image,0.033580056,0.730738216,7,0.00000586,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,1.607134682,0.26626737,-0.018386616,0.851382168,11727,0,0,0,43262.56667,0.566712963,4,12.486,-0.154163271,0.8481,-0.148785377,12.486,-0.154163271,-0.542251997,0.6249,0,-0.290275764,192,-0.974380492,84.81,1
33,1645,I_BK12,7,18,241442,0,0,0,1,1528990806,Burger_King,1528749364,1,0,Image,0.033580056,0.730738216,7,0.004224392,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,1.607134682,0.26626737,-0.018386616,0.851382168,70710,0,0,0,43262.56667,0.566712963,4,12.486,-0.154163271,0,-0.153417912,12.486,-0.154163271,-0.542251997,0.8481,0,-0.288518345,193,-0.975144473,0,1
34,1646,I_BK12,7,19,252581,0,0,0,1,1529001945,Burger_King,1528749364,1,0,Image,0.033580056,0.730738216,7,0.004419286,1,0,0,0,0,0,0,0,0,0,0,0.549263911,0.482797766,0.532200665,1.607134682,0.26626737,-0.018386616,0.851382168,25350,0,0,0,43262.56667,0.566712963,4,12.486,-0.154163271,0,-0.153417912,12.486,-0.154163271,-0.542251997,0,0,-0.286760927,194,-0.975144473,0,1
